File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,cJSON
/testfiles/json-invalid/2698588bb7fa404cac3eda185e8fa34c.json,813,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7875.json,54,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5147.json,8,,
/testfiles/json-invalid-realworld/7917.json,272,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/278.json,1842,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/4569.json,4488,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/6241.json,245,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/4960.json,595,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/108.json,3,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7921.json,50,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/3739ea9cc59c4356b48097c314bc8380.json,3316,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/7364.json,62785,,The process terminated with exit code 139
/testfiles/json-invalid/38c1d168871b403da7975e1df1394228.json,8273,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/1a83276712c344c195dbf797fe633a90.json,460,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6188.json,1318,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7078.json,20,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7895.json,143,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7059.json,700,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5110.json,83,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/279.json,199,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7714.json,312,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/259.json,426,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5132.json,42,,
/testfiles/json-invalid/56e28056676d48a4b00c4e1de4d4bd8c.json,18116,,Reported an incorrect input with exit code 1
