File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,TinyC
/testfiles/tinyc-invalid-mult/e98f0653097c09cb8361933668838f5e.c,8,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7e68ed03f91ee21beda566f0cdf84b19.c,24,,The process terminated with exit code 5
/testfiles/tinyc-invalid-single/f8d3fe0c7f9995c1cbde303dbe111eba.c,5,,The process terminated with exit code 3
/testfiles/tinyc-invalid-mult/fd23de76a537323e39ea610a768e0737.c,10,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e84a7a55ed395c0c0ecc3abbcf439d9e.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/f85be888c266bf2723e2594e347efff3.c,30,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/70446dd1138ba83e7e43af6d6daadc7d.c,45,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e6d674fdf964c5afce4e74d393ffc469.c,31,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/def425b85260acc0f7a6259831d37085.c,8,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e7aa03a2d736853af718feb925ce011f.c,260,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e2b39c37087833d258ad9a012995f259.c,138,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7ce86c95aed2ce55555f27920a4bd7f0.c,12,,The process terminated with exit code 3
/testfiles/tinyc-invalid-single/dcab71d568275d772047cbab47a97311.c,21,,The process terminated with exit code 16
/testfiles/tinyc-invalid/70a4db77853b02ab63c9b99fda1c5573.c,44,,The process terminated with exit code 3
/testfiles/tinyc-invalid/6e577a656c2a52c59ca321fb1d4fa0b1.c,65,,Reported Incomplete
/testfiles/tinyc-invalid-mult/dde6f3e8342d2db7ec0672026363d8ed.c,18,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7bae47ecf9942d64b8fb1da2d460cd9e.c,16054,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/f2a58825dce52705b57d3226c5ff8d51.c,6,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/60a9a9a2019f6515f138332f30d7691d.c,23,,The process terminated with exit code 3
/testfiles/tinyc-invalid-mult/f8e3a93fd340f77b9348830250cc14e8.c,160,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7b395c008f50cc163d9eaacde98fd17d.c,17,,Reported Incomplete
/testfiles/tinyc-invalid/7f9e3bdcd652cbb333c600bd11f6f369.c,29068,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/71f971638db6c950b66c658d711f136b.c,17,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6489b60af0e8f25f696450a97e905937.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/f9e6f878e075137020b0e4418c16b118.c,8,,The process terminated with exit code 6
/testfiles/tinyc-invalid/79e17d5660508998d4117c7a45fcf60e.c,132,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/65613db525d07b7e857275f6331b025f.c,128,,Reported Incomplete
/testfiles/tinyc-invalid/65e4e508d3b085e0058f17d79caa2bd9.c,1,,Reported Incomplete
/testfiles/tinyc-invalid/77b1a4256e97851b685cd8d908115454.c,34,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7d66e9ab18bcadfcb930fb0be16458a3.c,20,,Reported an incorrect input with exit code 1
