Success and Size Change Overview for bRepair for each subject. Empty values mean untested.
File Name,Format,Size Corrupted,INI Success,INI Size,cJSON Success,cJSON Size,SExpParser Success,SExpParser Size,TinyC Success,TinyC Size
/testfiles/ini-invalid-mult/02aaf66820894d1b833271da95740b64.ini,INI,615,true,616,,,,,,
/testfiles/ini-invalid-mult/03d9d18ef6004208abcb3c7f02710d40.ini,INI,64,true,65,,,,,,
/testfiles/ini-invalid-mult/04b78aa09feb4986a5081572e6177328.ini,INI,658,true,668,,,,,,
/testfiles/ini-invalid-mult/05606e4eb3d84e2cbb626a16d9946ddb.ini,INI,78,true,79,,,,,,
/testfiles/ini-invalid-mult/0af5a86b599e487f9cb008cec87d9c3f.ini,INI,131,true,132,,,,,,
/testfiles/ini-invalid-mult/11b22fcb485f4a5291f05eccaa576823.ini,INI,109,true,110,,,,,,
/testfiles/ini-invalid-mult/15027701cec74115ac3b0b7857520ae5.ini,INI,815,true,816,,,,,,
/testfiles/ini-invalid-mult/15e85720f2504b5bad79116e2b76b1b1.ini,INI,356,true,357,,,,,,
/testfiles/ini-invalid-mult/17397f8878cf48938d91fa9dc2f7e220.ini,INI,104,true,105,,,,,,
/testfiles/ini-invalid-mult/1a2a89f9637047f3af9d4821a3026622.ini,INI,678,true,679,,,,,,
/testfiles/ini-invalid-mult/1a748ad35c4e433ca33698872f10bcf0.ini,INI,237,true,238,,,,,,
/testfiles/ini-invalid-mult/1e977052ac3845068e0482fd6900b05d.ini,INI,136,true,137,,,,,,
/testfiles/ini-invalid-mult/21cb41024aa04ab5b7a72f1c3015cbc1.ini,INI,151,true,153,,,,,,
/testfiles/ini-invalid-mult/248d59e5d5c544d3b3e5fde86ae32fab.ini,INI,394,true,395,,,,,,
/testfiles/ini-invalid-mult/2679f986d5e9442dbf5d87671df76cbe.ini,INI,26,true,27,,,,,,
/testfiles/ini-invalid-mult/26b98eab60ba454dad5c456316161247.ini,INI,477,true,478,,,,,,
/testfiles/ini-invalid-mult/27d46c1be9344fa1b0ed55137f8be636.ini,INI,485,true,486,,,,,,
/testfiles/ini-invalid-mult/334a4fd72a184ffe8fd43c9d26a4048e.ini,INI,449,true,450,,,,,,
/testfiles/ini-invalid-mult/341449945dc446c3b73c5e072851c62d.ini,INI,715,true,740,,,,,,
