File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,INI
/testfiles/ini-invalid-mult/0af5a86b599e487f9cb008cec87d9c3f.ini,131,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/15e85720f2504b5bad79116e2b76b1b1.ini,365,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/9634a98b7a41407dbdaf03cf8bd74056.ini,13,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/4bec67f1c14249c8aeec9b2e7aee293f.ini,834,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/fd793c950b954d4a991667cc0b59f152.ini,54,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/26b98eab60ba454dad5c456316161247.ini,477,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/102810848728410eaa2926e982e3da81.ini,50,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/65f8a36b4c7341d387e8fc3a2bc87b4f.ini,180,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/4b4abf06e0864b9195bca3daccb0f9af.ini,212,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/2fa5a2bf8a8341f98c059d197af640b2.ini,5962,,
/testfiles/ini-invalid-mult/6bbf163a7b7d4fcc93c265663502cfb3.ini,152,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/334a4fd72a184ffe8fd43c9d26a4048e.ini,449,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/ef826e93e287436a82e14036aac5ed65.ini,46664,,
/testfiles/ini-invalid/74e224deb132400586d5c061364a9ac2.ini,460,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/d2aa86baed034368a3dd64f191428b26.ini,596,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/33780e3b92c541c39f9854e4eab31923.ini,14036,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/6cf54ba20f6c49438fcfab030c5e9db5.ini,117,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/7368656aa83d493e817cf6f9f3c1c7b3.ini,8,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/22f5aae0472b4fd299fb17a1ab0e5446.ini,62,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/8f390243353e42488fd623d4d1e626be.ini,202,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/17397f8878cf48938d91fa9dc2f7e220.ini,104,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/6525efe77abe45ab90286870fba59ef9.ini,765,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/17397f8878cf48938d91fa9dc2f7e220.ini,104,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/92bcfd8cc82f4f17972689d8e4a60591.ini,346,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/62b3283f4e3d451b93ddb20a456d3f6b.ini,61,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/f9882f7a7f8e4dc8a6899c7f73de4d3a.ini,10336,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/5b0a05b5a23942c681c87f3162a031fa.ini,1193,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/a31348c201ff43a6a604968204a9d8a7.ini,108,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/c2ca2861460244769cebee38b8f3c554.ini,25797,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/27d46c1be9344fa1b0ed55137f8be636.ini,485,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/7f500e4d426c443cb9b6e24577f0212d.ini,2244,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/248d59e5d5c544d3b3e5fde86ae32fab.ini,394,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/71ace347216246d1a65dcfbc400a3785.ini,73,,Reported Incomplete
/testfiles/ini-invalid-mult/54acb241c87e4014b1fd59bb9cde707e.ini,840,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/5b0696535a464ab1ba0315a25ded5566.ini,655,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/f9feca937d2b4626aca73b51f9a274ba.ini,6369,,
/testfiles/ini-invalid/59f4a15848594056a675732528913835.ini,3534,,
/testfiles/ini-invalid/1e00680767f24a269d8903776cf40a9e.ini,41857,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/26b98eab60ba454dad5c456316161247.ini,487,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/44781a384cf14d95abec149a000f3403.ini,276,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/d7c3595d12f14cc381f413be6d1d38ac.ini,30556,,Reported Incomplete
/testfiles/ini-invalid/1ca68fd56e444be4bb0b08ac2247c7a7.ini,61,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/aeae35a827904b8cb30907db3612c1f6.ini,21458,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/05606e4eb3d84e2cbb626a16d9946ddb.ini,78,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/6374dff6bed8411f956393aa949c2ac2.ini,52356,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/248d59e5d5c544d3b3e5fde86ae32fab.ini,391,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/507f98b2c58047eaaa2b2b7420b4c8aa.ini,45,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/d7c7f85073134aa4a05327cd06be730c.ini,140,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/b9ee83210b9648c6babcdf46206b0abe.ini,17736,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/1a748ad35c4e433ca33698872f10bcf0.ini,235,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/caed9f496e6c40789ec0e1ee2f06c4db.ini,4185,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/34156eb2bb344d33a1e3c3fd7343ebb0.ini,613,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/7ea20fb9ca5e44c5a197c43a9d6f7ef3.ini,3506,,
/testfiles/ini-invalid-single/4932e254b68b4d25908eeffeb7866e38.ini,25,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/03d9d18ef6004208abcb3c7f02710d40.ini,64,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/75822dd358784dc686cca39493271d41.ini,457,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/27d46c1be9344fa1b0ed55137f8be636.ini,489,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/48efc6eb126541e4af834fa253f3ae42.ini,1185,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/cf60f47905fd410ab864aaea0f7807da.ini,797,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/44781a384cf14d95abec149a000f3403.ini,281,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/2679f986d5e9442dbf5d87671df76cbe.ini,30,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/02aaf66820894d1b833271da95740b64.ini,615,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/04764e65915e4931ab1704b7557920c0.ini,94772,,
/testfiles/ini-invalid-single/43d41527a7de4b3a9167afb780d2d677.ini,1369,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/0f01517c98814fbe8f931c492c6a0fbe.ini,16,,Reported Incomplete
/testfiles/ini-invalid-mult/5f69c3fa7bfc41f89c316f0b467b2e8b.ini,59,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/6bbf163a7b7d4fcc93c265663502cfb3.ini,151,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/15e85720f2504b5bad79116e2b76b1b1.ini,356,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/341449945dc446c3b73c5e072851c62d.ini,711,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/b02ce30346ec42e19a98f005db7ec41f.ini,9795,,
/testfiles/ini-invalid-single/11b22fcb485f4a5291f05eccaa576823.ini,106,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/54acb241c87e4014b1fd59bb9cde707e.ini,840,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/21cb41024aa04ab5b7a72f1c3015cbc1.ini,151,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/5b0a05b5a23942c681c87f3162a031fa.ini,1204,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/59a8685104584a2c9df4200876f4796b.ini,44,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/1e977052ac3845068e0482fd6900b05d.ini,149,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/911570f26e0445fab679c271852c0ae0.ini,1417,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/93e99a9ef1e045afb67057001089438b.ini,41,,Reported an incorrect input with exit code 1
